,0
GO:0002017,2.0
GO:0002018,3.0
GO:0002019,2.0
GO:0002021,15.0
GO:0002023,6.0
GO:0002024,13.0
GO:0002025,3.0
GO:0002026,17.0
GO:0002027,33.0
GO:0002028,18.0
GO:0002029,4.0
GO:0002031,13.0
GO:0002032,2.0
GO:0002033,1.0
GO:0002034,3.0
GO:0002035,2.0
GO:0002037,2.0
GO:0002038,2.0
GO:0002040,32.0
GO:0002041,1.0
GO:0002042,21.0
GO:0002043,7.0
GO:0002051,3.0
GO:0002052,37.0
GO:0002053,22.0
GO:0002062,49.0
GO:0002063,17.0
GO:0002064,11.0
GO:0002066,1.0
GO:0002067,7.0
GO:0002068,6.0
GO:0002070,8.0
GO:0002071,5.0
GO:0002072,2.0
GO:0002074,2.0
GO:0002076,17.0
GO:0002077,1.0
GO:0002082,14.0
GO:0002084,10.0
GO:0002085,4.0
GO:0002086,2.0
GO:0002087,12.0
GO:0002088,44.0
GO:0002089,12.0
GO:0002090,5.0
GO:0002091,14.0
GO:0002092,26.0
GO:0002093,2.0
GO:0002098,14.0
GO:0002100,1.0
GO:0002101,1.0
GO:0002115,8.0
GO:0002118,3.0
GO:0002121,2.0
GO:0002125,3.0
GO:0002127,1.0
GO:0002128,2.0
GO:0002138,5.0
GO:0002143,4.0
GO:0002149,1.0
GO:0002152,1.0
GO:0002154,3.0
GO:0002155,4.0
GO:0002157,3.0
GO:0002158,5.0
GO:0002159,4.0
GO:0002175,4.0
GO:0002176,3.0
GO:0002181,89.0
GO:0002182,1.0
GO:0002183,5.0
GO:0002184,1.0
GO:0002188,2.0
GO:0002190,1.0
GO:0002191,6.0
GO:0002192,1.0
GO:0002194,1.0
GO:0002204,1.0
GO:0002208,4.0
GO:0002209,1.0
GO:0002215,3.0
GO:0002218,31.0
GO:0002220,1.0
GO:0002221,15.0
GO:0002222,2.0
GO:0002223,21.0
GO:0002224,25.0
GO:0002225,2.0
GO:0002227,23.0
GO:0002228,2.0
GO:0002230,35.0
GO:0002232,8.0
GO:0002237,9.0
GO:0002238,1.0
GO:0002244,69.0
GO:0002246,2.0
GO:0002248,5.0
GO:0002250,496.0
GO:0002251,1.0
GO:0002253,3.0
GO:0002260,7.0
GO:0002262,10.0
GO:0002263,1.0
GO:0002264,1.0
GO:0002265,4.0
GO:0002266,1.0
GO:0002268,2.0
GO:0002269,3.0
GO:0002270,1.0
GO:0002273,2.0
GO:0002274,1.0
GO:0002276,2.0
GO:0002277,3.0
GO:0002280,1.0
GO:0002281,14.0
GO:0002282,5.0
GO:0002283,8.0
GO:0002286,25.0
GO:0002291,4.0
GO:0002292,3.0
GO:0002295,1.0
GO:0002296,4.0
GO:0002300,1.0
GO:0002302,1.0
GO:0002305,3.0
GO:0002309,5.0
GO:0002312,2.0
GO:0002313,4.0
GO:0002314,9.0
GO:0002315,9.0
GO:0002316,4.0
GO:0002317,5.0
GO:0002318,6.0
GO:0002319,1.0
GO:0002320,6.0
GO:0002322,6.0
GO:0002323,18.0
GO:0002326,5.0
GO:0002327,6.0
GO:0002328,4.0
GO:0002329,1.0
GO:0002331,3.0
GO:0002333,1.0
GO:0002334,1.0
GO:0002335,1.0
GO:0002336,1.0
GO:0002337,2.0
GO:0002344,2.0
GO:0002352,2.0
GO:0002353,2.0
GO:0002355,3.0
GO:0002357,13.0
GO:0002358,2.0
GO:0002360,5.0
GO:0002361,3.0
GO:0002362,2.0
GO:0002363,1.0
GO:0002364,1.0
GO:0002366,3.0
GO:0002376,47.0
GO:0002383,1.0
GO:0002384,2.0
GO:0002385,6.0
GO:0002395,2.0
GO:0002397,2.0
GO:0002398,1.0
GO:0002399,1.0
GO:0002407,16.0
GO:0002408,3.0
GO:0002412,1.0
GO:0002415,2.0
GO:0002416,1.0
GO:0002418,3.0
